Category,State/UT,Number of Convicts Admitted During the year,Number of Habitual Offenders,year,Agriculture,Carpentry,Canning,Tailoring,Weaving,Making of Soap & Phenyl,Handloom,Others,No. of prisoners to whom financial assistance provided on release,No. of convicts rehabilitated,No. of prisoners to whom legal aid provided,Wages paid per day to convicts (in Rs.) - Skilled,Wages paid per day to convicts (in Rs.) - Semi Skilled,Wages paid per day to convicts (in Rs.) - Unskilled,16 - 18 Years - Male,16 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 50 Years - Male,30 - 50 Years - Female,50 Years & Above - Male,50 Years & Above - Female,State/UT_Mapped
State,Himachal Pradesh,543,4,2015,10,8,0,13,14,0,0,81,0,0,535,0.0,0.0,170.0,0,0,200,3,437,20,124,9,9
State,Jharkhand,3207,379,2015,465,45,0,105,29,105,255,788,0,21,1504,144.0,113.0,91.0,0,0,73,0,201,6,58,4,10
State,Karnataka,30738,19,2015,0,41,0,83,71,36,0,320,0,0,393,90.0,80.0,70.0,0,0,1090,25,2080,101,700,21,11
State,Kerala,7024,222,2015,80,116,0,123,97,112,13,675,0,0,840,53.0,35.0,21.0,0,0,2000,94,1599,100,103,8,12
State,Madhya Pradesh,12741,138,2015,1263,294,138,528,756,121,584,839,0,0,3806,55.0,0.0,50.0,0,0,958,4,1274,40,465,17,13
State,Maharashtra,15323,40,2015,0,30,0,40,0,0,134,391,13,0,1952,55.0,50.0,40.0,0,0,6608,169,7919,335,1928,99,14
State,Manipur,17,1,2015,0,0,0,15,0,15,0,27,0,0,1,12.0,10.0,8.0,0,0,2205,87,3753,212,1548,86,15
State,Meghalaya,49,0,2015,0,34,0,0,0,0,0,0,120,6,321,133.0,126.0,119.0,0,0,25,0,46,1,13,0,16
State,Mizoram,1302,188,2015,0,45,0,5,0,0,15,10,10,50,880,15.0,12.0,10.0,0,0,35,0,32,0,6,0,17
State,Nagaland,115,9,2015,4,0,0,0,0,0,0,6,0,0,35,135.0,125.0,115.0,0,0,407,11,177,9,31,1,18
State,Odisha,1794,71,2015,0,20,0,130,390,45,211,141,10,98,410,40.0,40.0,40.0,0,0,15,0,33,1,6,1,19
State,Punjab,9283,166,2015,1248,1003,0,906,2919,214,0,5495,0,12,3902,35.0,30.0,25.0,0,0,1386,26,1335,61,548,25,20
State,Rajasthan,8638,105,2015,0,1170,0,941,0,0,0,18999,0,0,949,150.0,0.0,130.0,0,0,3832,129,4725,303,1499,111,21
State,Sikkim,81,10,2015,15,17,28,5,0,0,0,30,0,0,510,40.0,30.0,30.0,0,0,1688,48,3046,132,799,36,22
State,Tamil Nadu,3093,78,2015,41,0,0,15,121,5,0,1363,8,561,7473,100.0,80.0,60.0,0,0,26,2,70,1,12,0,23
State,Telangana,7139,353,2015,24,85,0,97,62,13,0,177,1,123,585,70.0,50.0,30.0,0,0,1049,12,3036,130,699,40,24
State,Tripura,1545,27,2015,138,0,34,31,20,0,0,21,0,0,158,33.0,28.0,24.0,0,0,852,27,1126,143,164,28,25
State,Uttar Pradesh,26795,1717,2015,0,0,0,98,0,0,0,639,91,10,3538,40.0,30.0,25.0,0,0,172,3,308,9,83,6,26
State,Uttarakhand,2699,14,2015,60,35,0,20,0,0,0,45,4,0,908,45.0,35.0,30.0,0,0,5517,135,12456,540,6911,358,27
State,West Bengal,12576,617,2015,65,20,0,240,0,7,0,792,58,2,4883,35.0,30.0,26.0,0,0,399,10,956,51,605,35,28
UT,Chandigarh,328,18,2015,64,210,86,18,0,0,0,170,0,0,617,60.0,50.0,40.0,0,0,124,0,253,1,40,0,30
UT,Delhi,7871,650,2015,0,1124,0,620,426,205,0,6684,0,33,45620,171.0,138.0,107.0,0,0,0,0,0,0,0,0,31
UT,Lakshadweep,1,0,2015,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,32
UT,Puducherry,182,24,2015,0,0,0,3,2,0,0,38,8,14,45,180.0,160.0,150.0,0,0,4,0,60,2,14,1,33
State,Andhra Pradesh,8577,263,2016,75,0,0,50,307,0,0,2388,0,29,1271,70.0,50.0,30.0,0,0,573,35,1633,83,227,27,1
State,Arunachal Pradesh,54,0,2016,0,0,0,0,0,0,0,90,0,0,76,75.0,0.0,55.0,0,0,32,0,41,0,3,0,2
State,Assam,2180,11,2016,77,59,4,0,0,0,123,157,0,0,1132,75.0,0.0,55.0,0,0,822,40,1957,54,482,17,3
State,Bihar,4822,128,2016,84,464,5,73,45,0,0,3517,0,27,931,156.0,112.0,103.0,0,0,1221,20,2891,86,1059,44,4
State,Chhattisgarh,4875,29,2016,483,384,278,0,25,0,0,1738,672,0,3868,30.0,0.0,25.0,0,0,3230,176,3683,186,907,62,5
State,Goa,50,6,2016,0,18,8,4,0,0,0,67,0,6,22,80.0,60.0,50.0,0,0,44,4,86,1,22,6,6
