Category,State/UT,Number of Convicts Admitted During the year,Number of Habitual Offenders,year,Agriculture,Carpentry,Canning,Tailoring,Weaving,Making of Soap & Phenyl,Handloom,Others,No. of prisoners to whom financial assistance provided on release,No. of convicts rehabilitated,No. of prisoners to whom legal aid provided,Wages paid per day to convicts (in Rs.) - Skilled,Wages paid per day to convicts (in Rs.) - Semi Skilled,Wages paid per day to convicts (in Rs.) - Unskilled,16 - 18 Years - Male,16 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 50 Years - Male,30 - 50 Years - Female,50 Years & Above - Male,50 Years & Above - Female,State/UT_Mapped
State,Rajasthan,21,0,2020,77,10,0,5,0,0,0,73,0,0,282,40.0,30.0,30.0,1,0,1654,33,2404,84,898,35,21
State,Sikkim,2541,21,2020,73,38,0,113,157,0,18,168,138,380,5337,200.0,180.0,160.0,0,0,23,0,73,1,27,0,22
State,Tamil Nadu,6959,481,2020,50,10,0,86,119,82,0,349,86,397,706,70.0,30.0,0.0,0,0,1123,14,1979,94,851,55,23
State,Telangana,391,10,2020,34,0,0,2,0,0,0,3,0,0,80,33.0,28.0,24.0,0,0,498,16,1008,88,276,19,24
State,Tripura,29653,1023,2020,1351,243,0,517,50,38,154,412,255,0,8311,40.0,30.0,25.0,0,0,67,1,226,12,76,5,25
State,Uttar Pradesh,1087,25,2020,7,15,0,8,5,0,13,80,0,0,3389,65.0,51.0,46.0,0,0,5189,224,12789,461,7485,454,26
State,Uttarakhand,2772,207,2020,120,23,0,232,0,17,27,368,0,0,5529,100.0,90.0,80.0,0,0,462,2,955,31,538,51,27
State,West Bengal,80673,3401,2020,4538,2567,292,4363,2220,1644,1747,17971,1175,1393,72720,0.0,0.0,0.0,0,0,667,33,2528,147,1419,107,28
UT,Chandigarh,13,0,2020,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,150,2,152,8,31,2,30
UT,Delhi,2,0,2020,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0,0,468,11,717,18,171,12,31
UT,Lakshadweep,1,0,2020,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,32
UT,Puducherry,28,0,2020,0,0,0,0,0,0,0,2,0,0,18,180.0,160.0,150.0,0,0,2,0,53,0,17,0,33
State,Andhra Pradesh,1340,64,2021,48,10,0,108,20,24,8,677,0,0,784,200.0,180.0,160.0,0,0,621,11,1187,62,201,19,1
State,Arunachal Pradesh,23,0,2021,0,0,0,0,0,0,0,0,0,0,145,75.0,0.0,55.0,0,0,55,0,57,2,13,2,2
State,Assam,1939,0,2021,15,12,12,10,30,34,12,26,39,92,3753,100.0,80.0,0.0,0,0,596,31,1364,26,419,8,3
State,Bihar,2616,120,2021,1029,18,345,256,46,30,50,1178,56,0,3807,156.0,112.0,103.0,0,0,1624,57,3325,136,2065,88,4
State,Chhattisgarh,2631,0,2021,75,249,0,254,245,21,210,126,4,0,5133,75.0,0.0,60.0,0,0,2691,78,3528,204,1182,77,5
State,Goa,92,0,2021,0,0,0,0,0,0,0,0,0,30,52,80.0,60.0,50.0,0,0,23,0,29,0,10,0,6
State,Gujarat,4245,0,2021,182,89,15,92,183,9,9,552,0,4,11343,100.0,80.0,70.0,0,0,1351,32,2307,116,770,34,7
State,Haryana,3286,103,2021,176,400,212,115,14,3,0,1376,0,0,1919,60.0,50.0,40.0,0,0,1867,44,2823,93,996,52,8
State,Himachal Pradesh,348,3,2021,16,27,2,47,65,4,40,38,0,43,400,0.0,0.0,300.0,0,0,126,1,489,15,159,6,9
State,Jharkhand,1890,47,2021,333,38,0,304,45,37,78,658,17,165,3738,225.0,200.0,175.0,0,0,1335,37,2588,103,864,78,10
State,Karnataka,5834,188,2021,828,72,25,342,97,123,93,794,3,0,4829,152.0,127.0,63.0,0,0,890,34,2166,102,517,48,11
State,Kerala,14646,13,2021,181,250,27,306,485,0,265,573,0,0,3986,120.0,0.0,72.0,0,0,270,6,1178,26,690,12,12
State,Madhya Pradesh,4624,0,2021,23,113,40,51,49,8,16,199,153,29,6845,67.0,61.0,48.0,0,0,7929,270,8336,355,2198,166,13
State,Maharashtra,24,0,2021,0,0,0,8,0,0,7,7,0,0,0,50.0,40.0,30.0,7,0,1554,26,2380,93,731,28,14
State,Manipur,99,3,2021,22,27,0,0,0,0,0,5,223,0,455,148.4,140.7,132.3,0,0,31,1,44,1,10,0,15
State,Meghalaya,1134,173,2021,4,5,0,5,3,1,5,1,64,398,879,30.0,24.0,20.0,0,0,54,2,110,1,41,0,16
State,Mizoram,140,11,2021,13,23,17,13,4,9,12,4,0,0,106,135.0,125.0,115.0,0,0,215,6,207,9,32,1,17
State,Nagaland,1249,33,2021,209,0,0,32,0,85,0,585,15,2,1139,70.0,60.0,50.0,0,0,52,0,61,0,17,0,18
State,Odisha,8604,253,2021,3,164,0,112,190,23,0,384,245,25,5003,60.0,50.0,40.0,0,0,736,12,1348,47,457,19,19
State,Punjab,7026,107,2021,0,0,0,329,1768,0,0,2540,0,113,1795,180.0,0.0,156.0,0,0,2014,49,3303,151,939,74,20
State,Rajasthan,47,0,2021,16,12,0,5,0,0,0,83,0,0,158,40.0,30.0,30.0,0,0,1435,53,2530,63,832,34,21
State,Sikkim,3405,7,2021,88,20,0,159,159,108,28,490,108,574,8839,200.0,180.0,160.0,0,0,40,0,67,1,24,0,22
State,Tamil Nadu,13136,381,2021,145,92,0,284,110,79,41,466,12,312,1199,70.0,50.0,30.0,0,0,1303,10,2074,114,916,59,23
State,Telangana,411,7,2021,34,0,2,1,0,2,0,5,0,0,123,33.0,28.0,24.0,0,0,617,7,1095,73,281,45,24
State,Tripura,16049,1001,2021,1508,216,10,2483,2109,15,90,759,339,12,6495,40.0,30.0,25.0,0,0,89,1,215,14,89,4,25
State,Uttar Pradesh,2231,18,2021,76,28,0,18,24,0,20,144,0,0,1832,67.0,52.0,44.0,0,0,4710,169,13274,485,7634,423,26
State,Uttarakhand,3809,293,2021,41,1,0,51,0,2,0,63,5,37,4040,100.0,90.0,80.0,0,0,480,6,1038,37,601,44,27
State,West Bengal,102779,2891,2021,5700,1907,707,5535,5891,740,1301,12958,1283,1836,82857,0.0,0.0,0.0,0,0,432,28,1455,88,577,45,28
UT,Chandigarh,30,0,2021,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,66,3,93,3,9,0,30
UT,Delhi,2,0,2021,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,410,6,860,30,192,10,31
UT,Lakshadweep,0,0,2021,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,32
UT,Puducherry,38,0,2021,15,0,0,0,0,0,0,0,0,0,22,180.0,160.0,150.0,0,0,8,0,63,0,14,0,33
State,Andhra Pradesh,4184,38,2022,54,8,0,86,20,28,2,431,0,0,1313,200.0,180.0,160.0,0,0,714,12,959,54,227,17,1
State,Arunachal Pradesh,61,0,2022,0,0,0,0,0,0,0,0,0,0,155,75.0,0.0,55.0,0,0,55,0,75,1,17,3,2
State,Assam,2224,6,2022,101,8,94,43,82,72,13,59,0,0,3714,100.0,0.0,80.0,0,0,526,6,1596,31,586,24,3
State,Bihar,6042,23,2022,771,19,0,241,35,171,32,1180,60,0,4607,156.0,112.0,103.0,0,0,1779,43,3635,129,1694,91,4
State,Chhattisgarh,2635,0,2022,49,129,0,245,277,14,101,324,0,0,5246,75.0,0.0,60.0,0,0,2553,73,3463,192,1266,77,5
State,Goa,132,3,2022,4,5,5,8,7,0,5,0,0,0,170,80.0,60.0,50.0,0,0,21,0,58,5,15,0,6
State,Gujarat,4980,5,2022,89,36,0,272,85,10,0,1537,2,90,17937,100.0,80.0,70.0,0,0,1611,31,2422,126,882,49,7
State,Haryana,5456,145,2022,243,125,303,174,22,72,0,1197,0,0,3685,100.0,90.0,80.0,0,0,2076,34,2880,96,792,70,8
State,Himachal Pradesh,626,0,2022,29,52,5,50,38,1,0,105,0,0,561,0.0,0.0,350.0,0,0,145,2,544,12,177,12,9
State,Jharkhand,2996,27,2022,589,90,3,339,93,39,25,1684,8,143,3351,615.0,548.0,524.0,0,0,1245,42,2187,105,1164,64,10
State,Karnataka,3726,129,2022,117,0,20,23,0,34,0,616,0,3,6820,152.0,127.0,63.0,0,0,1107,26,1832,88,449,36,11
State,Kerala,13154,16,2022,330,271,103,309,332,0,304,414,0,0,4733,120.0,0.0,72.0,0,0,325,5,1689,24,960,18,12
State,Madhya Pradesh,9100,0,2022,165,75,13,86,41,15,84,1030,174,18,9550,67.0,61.0,48.0,0,0,8319,246,9767,461,2748,210,13
State,Maharashtra,108,0,2022,50,0,0,16,0,10,37,0,0,0,3,50.0,40.0,30.0,6,0,2087,32,4504,129,1093,96,14
State,Manipur,172,4,2022,33,40,10,0,0,0,0,0,263,0,327,148.4,140.7,132.3,0,0,16,1,53,0,35,1,15
State,Meghalaya,1814,142,2022,5,15,0,6,0,0,3,0,2,0,628,30.0,24.0,20.0,0,0,67,2,167,2,55,0,16
State,Mizoram,176,8,2022,63,50,30,30,30,30,30,110,3,0,84,135.0,125.0,115.0,0,0,218,6,184,30,82,4,17
State,Nagaland,1938,2,2022,0,0,0,45,0,63,35,431,0,0,2653,145.0,115.0,95.0,0,0,59,0,71,0,11,0,18
State,Odisha,5641,83,2022,209,128,23,83,273,6,11,399,155,99,7032,60.0,50.0,40.0,0,0,808,14,1434,46,544,32,19
State,Punjab,9798,72,2022,0,579,0,981,0,0,0,2787,4,71,2101,180.0,0.0,156.0,0,0,1962,54,2999,142,1262,71,20
State,Rajasthan,34,0,2022,24,20,0,4,0,0,0,49,0,0,227,40.0,30.0,30.0,0,0,1687,50,2604,68,934,22,21
State,Sikkim,5635,5,2022,109,145,14,371,191,65,210,1291,2165,733,9221,200.0,180.0,160.0,0,0,26,0,69,1,23,0,22
State,Tamil Nadu,9527,243,2022,142,129,0,160,112,218,73,1288,4,322,1539,70.0,50.0,30.0,0,0,1504,18,2443,123,890,66,23
State,Telangana,602,0,2022,256,0,0,0,0,0,0,0,0,0,253,49.5,42.0,36.0,0,0,646,9,1084,56,239,62,24
State,Tripura,25782,851,2022,1512,480,233,573,300,133,289,5133,305,11,5079,40.0,30.0,25.0,0,0,80,1,260,11,92,2,25
State,Uttar Pradesh,3205,19,2022,216,69,0,91,0,0,26,86,0,0,2265,67.0,52.0,44.0,0,0,5937,145,12353,549,7656,469,26
State,Uttarakhand,3593,169,2022,0,0,0,0,0,0,0,0,0,56,7524,100.0,90.0,80.0,0,0,576,12,961,26,476,31,27
State,West Bengal,126297,2012,2022,5495,2498,856,4317,2128,1015,1551,20556,3145,1546,103548,0.0,0.0,0.0,0,0,544,32,2209,125,1219,82,28
UT,Chandigarh,19,0,2022,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,153,3,152,11,35,5,30
UT,Delhi,1,0,2022,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,333,7,958,25,245,12,31
UT,Lakshadweep,2,0,2022,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,32
UT,Puducherry,108,0,2022,54,2,0,7,0,0,0,2,0,0,114,180.0,160.0,150.0,0,0,11,0,69,2,24,0,33
